tune_popularity_name,tune_id,tune_popularity_tunebooks,tunes_name,tunes_setting_id_1,tunes_setting_id_2,tunes_setting_id_3,tunes_setting_id_4,tunes_setting_id_5,tunes_setting_id_6,tunes_setting_id_7,tunes_setting_id_8,tunes_setting_id_9,tunes_setting_id_10,tunes_setting_id_11,tunes_setting_id_12,tunes_setting_id_13,tunes_setting_id_14,tunes_setting_id_15,tunes_setting_id_16,tunes_setting_id_17,tunes_setting_id_18,tunes_setting_id_19,tunes_setting_id_20,tunes_setting_id_21,tunes_setting_id_22,tunes_setting_id_23,tunes_setting_id_24,tunes_setting_id_25,tunes_setting_id_26,tunes_setting_id_27,tunes_setting_id_28,tunes_setting_id_29,tunes_setting_id_30,tunes_setting_id_31,tunes_setting_id_32,tunes_type_1,tunes_type_2,tunes_type_3,tunes_type_4,tunes_type_5,tunes_type_6,tunes_type_7,tunes_type_8,tunes_type_9,tunes_type_10,tunes_type_11,tunes_type_12,tunes_type_13,tunes_type_14,tunes_type_15,tunes_type_16,tunes_type_17,tunes_type_18,tunes_type_19,tunes_type_20,tunes_type_21,tunes_type_22,tunes_type_23,tunes_type_24,tunes_type_25,tunes_type_26,tunes_type_27,tunes_type_28,tunes_type_29,tunes_type_30,tunes_type_31,tunes_type_32,tunes_meter_1,tunes_meter_2,tunes_meter_3,tunes_meter_4,tunes_meter_5,tunes_meter_6,tunes_meter_7,tunes_meter_8,tunes_meter_9,tunes_meter_10,tunes_meter_11,tunes_meter_12,tunes_meter_13,tunes_meter_14,tunes_meter_15,tunes_meter_16,tunes_meter_17,tunes_meter_18,tunes_meter_19,tunes_meter_20,tunes_meter_21,tunes_meter_22,tunes_meter_23,tunes_meter_24,tunes_meter_25,tunes_meter_26,tunes_meter_27,tunes_meter_28,tunes_meter_29,tunes_meter_30,tunes_meter_31,tunes_meter_32,tunes_mode_1,tunes_mode_2,tunes_mode_3,tunes_mode_4,tunes_mode_5,tunes_mode_6,tunes_mode_7,tunes_mode_8,tunes_mode_9,tunes_mode_10,tunes_mode_11,tunes_mode_12,tunes_mode_13,tunes_mode_14,tunes_mode_15,tunes_mode_16,tunes_mode_17,tunes_mode_18,tunes_mode_19,tunes_mode_20,tunes_mode_21,tunes_mode_22,tunes_mode_23,tunes_mode_24,tunes_mode_25,tunes_mode_26,tunes_mode_27,tunes_mode_28,tunes_mode_29,tunes_mode_30,tunes_mode_31,tunes_mode_32,tunes_date_1,tunes_date_2,tunes_date_3,tunes_date_4,tunes_date_5,tunes_date_6,tunes_date_7,tunes_date_8,tunes_date_9,tunes_date_10,tunes_date_11,tunes_date_12,tunes_date_13,tunes_date_14,tunes_date_15,tunes_date_16,tunes_date_17,tunes_date_18,tunes_date_19,tunes_date_20,tunes_date_21,tunes_date_22,tunes_date_23,tunes_date_24,tunes_date_25,tunes_date_26,tunes_date_27,tunes_date_28,tunes_date_29,tunes_date_30,tunes_date_31,tunes_date_32,tunes_username_1,tunes_username_2,tunes_username_3,tunes_username_4,tunes_username_5,tunes_username_6,tunes_username_7,tunes_username_8,tunes_username_9,tunes_username_10,tunes_username_11,tunes_username_12,tunes_username_13,tunes_username_14,tunes_username_15,tunes_username_16,tunes_username_17,tunes_username_18,tunes_username_19,tunes_username_20,tunes_username_21,tunes_username_22,tunes_username_23,tunes_username_24,tunes_username_25,tunes_username_26,tunes_username_27,tunes_username_28,tunes_username_29,tunes_username_30,tunes_username_31,tunes_username_32,aliases_name,aliases_alias
Cooley's,1,5279,Cooley's,1,12342.0,12343.0,20796.0,20960.0,21423.0,22061.0,23915.0,24552.0,25140.0,29823.0,31475.0,39518.0,39604.0,40038.0,41887.0,44243.0,44659.0,45226.0,46013.0,,,,,,,,,,,,,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,Edorian,Eminor,Eminor,Edorian,Edorian,Eminor,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Edorian,Ddorian,,,,,,,,,,,,,2001-05-14 18:45:18,2002-06-11 15:43:50,2008-06-15 13:53:38,2013-02-01 03:04:27,2013-02-17 18:29:47,2013-04-15 13:30:56,2013-08-03 07:16:42,2014-04-03 21:29:58,2014-07-24 14:10:21,2014-11-13 01:59:23,2017-02-12 22:50:50,2017-12-11 10:35:07,2020-11-10 09:40:05,2020-11-20 17:10:55,2021-01-03 18:07:01,2021-09-05 23:38:46,2022-06-29 20:38:40,2022-08-27 19:04:59,2022-10-31 22:19:36,2023-01-29 13:31:02,,,,,,,,,,,,,Jeremy,donnchad,middlefaster,Edgar Bolton,sebastian the m3g4p0p,Edgar Bolton,Tate,ceolachan,eamonn barr,JACKB,litewave27,Sergei Ejov,GraefinZahl,Anonymous_Piper,Michael Eskin,shanachie,Blunty026,Blunty026,Madeleine Townley,PhilPontoise,,,,,,,,,,,,,Cooley's,"['Cooleys', 'Joe Cooley', ""Joe Cooley's"", ""Joe Cooley's Fancy"", 'Joe Cooleys', ""Luttrell's Pass"", 'Put The Cake In The Dresser', 'Put The Cake On The Dresser', 'Reaping The Rye', 'Ríl Na Tulaí', 'Tulla, The']"
"Bucks Of Oranmore, The",2,1970,"Bucks Of Oranmore, The",2,12344.0,12345.0,12346.0,12347.0,22356.0,24425.0,24998.0,28224.0,29659.0,29662.0,31126.0,32595.0,39727.0,43649.0,44492.0,45182.0,,,,,,,,,,,,,,,,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,,,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,,,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Emajor,Dmajor,Dmajor,,,,,,,,,,,,,,,,2001-05-14 18:45:18,2008-02-04 03:37:19,2009-04-27 13:27:44,2009-05-08 12:56:46,2012-02-26 05:46:17,2013-09-23 22:18:15,2014-07-08 20:49:40,2014-10-18 03:31:32,2016-02-08 16:15:09,2017-01-14 03:19:01,2017-01-14 10:18:03,2017-10-07 18:00:09,2018-06-16 13:26:06,2020-12-02 12:34:42,2022-04-19 19:03:05,2022-08-03 22:42:58,2022-10-27 05:08:54,,,,,,,,,,,,,,,,Jeremy,Dr. Dow,f.pellerin,f.pellerin,gian marco,JACKB,Lucy Rietmann,banjobabe,GaryAMartin,JACKB,JACKB,Stiamh,Alpinerabbit,Fernando Durbán Galnares,Argh,shanachie,Tabor,,,,,,,,,,,,,,,,"Bucks Of Oranmore, The","['Bucks Of Aranmore, The', 'Bucks Of Arranmore, The', 'Bucks Of Bohermore, The', 'Bucks Of Clare, The', 'Bucks Of Oran Mor, The', 'Bucks, The', 'Hearty Bucks Of Oranmore, The', 'Hearty Bucks, The']"
Boil The Breakfast Early,3,388,Boil The Breakfast Early,3,12348.0,12349.0,22771.0,43351.0,43860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,reel,reel,reel,reel,reel,reel,,,,,,,,,,,,,,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,,,,,,,,,,,,,,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-14 18:45:18,2007-07-04 20:59:34,2007-07-05 05:43:55,2013-11-17 11:26:51,2022-03-11 09:50:48,2022-05-13 20:05:58,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy,JACKB,Nigel Gatherer,Lucy Rietmann,Sláine,brailsford,,,,,,,,,,,,,,,,,,,,,,,,,,,Boil The Breakfast Early,"[""Peadar's"", ""Pedar's""]"
"Belfast, The",4,627,"Belfast, The",4,12350.0,12351.0,12352.0,12353.0,29642.0,32430.0,32598.0,42127.0,42849.0,45019.0,47669.0,,,,,,,,,,,,,,,,,,,,,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,,,,,,,,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,,,,,,,,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,,,,,,,,,,,,,,,,,,,,,2001-05-14 18:45:18,2006-10-27 09:29:35,2007-05-08 11:26:58,2007-05-08 11:29:38,2009-09-26 16:22:46,2017-01-10 18:18:19,2018-05-12 06:51:09,2018-06-17 11:47:34,2021-10-18 07:15:43,2022-01-21 21:31:43,2022-10-10 20:03:24,2023-07-16 04:08:32,,,,,,,,,,,,,,,,,,,,,Jeremy,Will Harmon,Dr. Dow,Dr. Dow,ceolachan,Kellie,bagpie,Beleragor,Egil Heine Strand,Michael Eskin,JimAman,Shawn Cassady,,,,,,,,,,,,,,,,,,,,,"Belfast, The","['Great Eastern', 'Great Western', 'Great Western Clog', 'Great Western Clog, The', 'Great Western Lancashire Clog', 'Great Western Lancashire Clog, The', ""Millicen's Favourite"", ""Millicent's"", ""Millicent's Favourite"", 'Royal Belfast', 'Royal Belfast, The', ""Sailor's Delight"", ""Sweep's"", ""Sweep's, The"", 'Sweeps, The', ""Van Dam's""]"
"Blarney Pilgrim, The",5,2751,"Blarney Pilgrim, The",5,12354.0,22282.0,24732.0,25593.0,25996.0,28409.0,29966.0,30071.0,34014.0,38788.0,40455.0,43996.0,46285.0,,,,,,,,,,,,,,,,,,,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,,,,,,,,,,,,,,,,,,,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,,,,,,,,,,,,,,,,,,,Dmixolydian,Dmixolydian,Emixolydian,Dmixolydian,Dmixolydian,Dmixolydian,Dmixolydian,Dmixolydian,Dmajor,Dmixolydian,Dmixolydian,Dmixolydian,Gmajor,Aminor,,,,,,,,,,,,,,,,,,,2001-05-14 18:45:18,2011-02-12 15:11:02,2013-09-16 06:11:53,2014-08-17 12:26:35,2015-01-11 11:20:06,2015-03-16 04:35:17,2016-03-03 21:32:00,2017-03-01 12:44:19,2017-03-19 00:57:54,2019-01-09 17:26:07,2020-08-17 13:42:40,2021-02-08 13:38:04,2022-06-06 19:37:35,2023-02-26 18:35:14,,,,,,,,,,,,,,,,,,,Jeremy,ceolachan,JACKB,Boyen,BenH,JACKB,Bryce,ArtemisFowltheSecond,RiteRight,Michael Toomey,Noah Cockett,anikmuan,Blunty026,Wanpanfam,,,,,,,,,,,,,,,,,,,"Blarney Pilgrim, The","[""Dean Lloyd's Jig #1"", ""Jackson's Rambles"", 'Killoughery', 'Killoughery Jig No. 1']"
"This Is My Love, Do You Like Her?",6,399,"This Is My Love, Do You Like Her?",6,1680.0,1791.0,8734.0,12117.0,12305.0,12355.0,12356.0,12357.0,12358.0,12359.0,12360.0,12361.0,15237.0,20574.0,21452.0,23497.0,24613.0,24614.0,26726.0,30643.0,31114.0,33237.0,33716.0,34061.0,34062.0,34917.0,34918.0,35456.0,35506.0,36396.0,,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,,Eminor,Adorian,Adorian,Eminor,Gmajor,Eminor,Adorian,Adorian,Bminor,Bdorian,Edorian,Edorian,Adorian,Adorian,Adorian,Ddorian,Eminor,Eminor,Adorian,Adorian,Eminor,Adorian,Edorian,Adorian,Adorian,Edorian,Edorian,Adorian,Bdorian,Edorian,Edorian,,2001-05-16 19:15:25,2003-05-20 10:25:48,2003-06-30 16:29:55,2008-07-22 20:16:33,2012-08-07 13:20:37,2012-11-18 06:44:53,2009-01-29 06:46:13,2009-01-29 06:58:54,2012-02-29 03:09:17,2012-03-01 08:36:33,2012-08-07 14:51:07,2012-08-07 14:59:55,2012-08-08 07:56:07,2005-02-10 05:14:48,2012-12-10 17:08:56,2013-04-21 06:31:30,2014-02-10 10:40:48,2014-07-30 21:57:19,2014-07-30 22:08:22,2015-06-27 16:29:45,2017-07-07 18:20:23,2017-10-05 11:21:38,2018-10-02 17:10:59,2018-12-15 05:07:20,2019-01-18 02:31:52,2019-01-18 02:59:01,2019-05-24 02:00:12,2019-05-24 02:13:25,2019-07-31 22:51:02,2019-08-06 19:54:43,2019-10-27 15:35:40,,Jeremy,gian marco,nobu,timmy!,David Levine,Kilcash,ceolachan,ceolachan,birlibirdie,ceolachan,ceolachan,ceolachan,ceolachan,MM,Alistair Cassidy,CDG,Mix O'Lydian,ceolachan,ceolachan,Ian Varley,ceolachan,bogman,CreadurMawnOrganig,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,janglecrow,,"This Is My Love, Do You Like Her?","[""Anthony Frawley's Favourite"", ""Anton A'Bhearnais"", ""Art O'Keeffe's"", ""Biddy Crowley's Ball"", 'Bonnie Wee Charlie', 'Bundle And Go', ""Con Curtin's Frolics"", ""Cronin's"", 'Culcrevie', 'I Found My Love In The Morning', 'I Lost My Love', 'I Lost My Love And I Care Not', 'I Love You Not And Care For You Not', ""Johnny Mick Dinny's"", 'Kiss The Maid Behind The Bar', 'Kiss The Maid Behind The Bier', 'Kiss The Maid Behind The Byre', ""McCusker's"", 'Mo Ghrása Ar Maidin', 'My Love In The Morning', 'Old Comrades', ""Patrick Kelly's Favourite"", 'Pussycat Up In A Plum Tree', 'Pussycat Up In The Plum Tree', 'Pussycat Up The Plum Tree', 'Pussycats Up In Plum Trees', 'Segmented, The', 'She Never Would Leave Me', 'She Would Never Leave Me', 'This Is My Love Do You Like Her?', 'This Is My Love, Do You Like Her', 'Tony Of The Gap', 'Up To See Grandma']"
Bonaparte Crossing The Rhine,7,711,Bonaparte Crossing The Rhine,7,5915.0,11103.0,12362.0,12363.0,12364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,march,march,march,march,march,march,,,,,,,,,,,,,,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,,,,,,,,,,,,,,Adorian,Dmixolydian,Amixolydian,Dmixolydian,Adorian,Adorian,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-17 15:30:34,2006-06-30 23:59:36,2011-03-06 08:46:51,2006-07-01 10:36:16,2006-07-01 10:58:18,2011-03-10 15:29:24,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy,davarm,Joe CSS,ceolachan,ceolachan,ceolachan,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonaparte Crossing The Rhine,"['Battle Call Of The Fianna', 'Battle Of Waterloo, The', 'Bonaparte Crossing The Alps', 'Bonaparte Crossing The Rockies', 'Bonaparte Crossing The Rocky Mountains', ""Bonaparte's"", ""Bonnie's"", 'Caledonian', 'Cead Suí Do Mhag Uidhir', 'Fare Thee Well Sweet Killaloe', 'Hot Asphalt', 'Johnny Get Up', 'Let Mr. Maguire Sit Down', 'Listowell', 'Mick Maguire', 'Mr Maguire', 'Mr. Maguire', 'Napolean Crossing The Alps', 'Old Cuckoo, The', 'Rohallion', 'Shermans Maech', 'Star Of Columbia, The', 'Sweet Killaloe']"
"Banshee, The",8,3610,"Banshee, The",8,12365.0,12368.0,26709.0,28308.0,31767.0,33130.0,33845.0,34206.0,35093.0,36793.0,39346.0,42570.0,46467.0,46954.0,48097.0,,,,,,,,,,,,,,,,,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,reel,,,,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,,,,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,,,,,,,,,,,,,,,,,2001-05-18 03:41:53,2005-08-08 07:34:01,2012-02-17 12:02:51,2015-06-23 18:46:43,2016-02-16 18:47:01,2018-01-30 19:35:57,2018-09-20 10:02:02,2018-12-28 19:57:27,2019-01-29 18:55:50,2019-06-16 14:02:01,2019-12-12 13:10:34,2020-10-23 08:25:13,2021-12-16 23:07:38,2023-03-16 10:49:50,2023-04-30 03:55:24,2023-09-05 00:18:33,,,,,,,,,,,,,,,,,Jeremy,slainte,ceolachan,PatrickFarrelly,The Archivist,McMij,JACKB,NfldWhistler,ans76,Filosmusic,JHowley,Fernando Durbán Galnares,shanachie,UPipes & harp,Benjamin Glauser,NfldWhistler,,,,,,,,,,,,,,,,,"Banshee, The","['Bansee, The', 'Bean An Mullóga Sióg', 'Bean Si, The', 'Bean Sidhe', ""James McMahon's"", ""James McMahon's #3"", 'Kilcavan Banks', 'Kilcavan Banks, The', ""MacMahon's"", ""McMahon's"", ""Miss McMahon's"", 'Moyasta Junction', 'Moyasta, The', 'Willing Hands']"
Banish Misfortune,9,3638,Banish Misfortune,9,22361.0,23916.0,25918.0,28408.0,33887.0,37418.0,40999.0,46380.0,,,,,,,,,,,,,,,,,,,,,,,,jig,jig,jig,jig,jig,jig,jig,jig,jig,,,,,,,,,,,,,,,,,,,,,,,,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,,,,,,,,,,,,,,,,,,,,,,,,Dmixolydian,Emixolydian,Dmajor,Dmixolydian,Dmixolydian,Dmixolydian,Dmixolydian,Dmixolydian,Dmixolydian,,,,,,,,,,,,,,,,,,,,,,,,2001-05-18 03:50:35,2013-09-24 07:09:32,2014-04-04 01:35:23,2015-03-04 02:01:10,2016-03-03 21:29:59,2019-01-01 15:52:16,2020-03-09 19:23:21,2021-04-12 21:24:40,2023-03-07 17:19:00,,,,,,,,,,,,,,,,,,,,,,,,Jeremy,JACKB,GaryAMartin,JACKB,Bryce,Eubonian,Níall Hughes,Madeleine Townley,TJ,,,,,,,,,,,,,,,,,,,,,,,,Banish Misfortune,"['Banished Misfortune', 'Díbir Anachain', 'Díbir Mí-Ádh', 'Horse Under The Stairs, The', 'Humours Of Mullinafauna, The', 'Little Bag Of Meal, The', ""Mammy's Horse Is Dying"", 'Mangled Badger, The', 'Ruaig An Mí-ádh', 'Stoat That Ate Me Sandals, The', 'Whore Amongst The Nettles Roaring, The']"
"Butterfly, The",10,5059,"Butterfly, The",10,12370.0,12371.0,12372.0,21788.0,25124.0,31492.0,34004.0,35298.0,37185.0,37187.0,42735.0,45354.0,45858.0,47103.0,,,,,,,,,,,,,,,,,,slip jig,slip jig,slip jig,slip jig,slip jig,slip jig,slip jig,slip jig,slip jig,slip jig,slip jig,slip jig,slip jig,slip jig,slip jig,,,,,,,,,,,,,,,,,,9/8,9/8,9/8,9/8,9/8,9/8,9/8,9/8,9/8,9/8,9/8,9/8,9/8,9/8,9/8,,,,,,,,,,,,,,,,,,Eminor,Eminor,Eminor,Eminor,Gmajor,Eminor,Eminor,Eminor,Eminor,Eminor,Eminor,Eminor,Eminor,Eminor,Eminor,,,,,,,,,,,,,,,,,,2001-05-18 03:53:30,2007-06-10 11:43:10,2008-09-29 06:12:17,2008-11-01 15:22:56,2013-06-24 19:49:38,2014-11-11 00:37:21,2017-12-12 09:02:53,2019-01-08 07:58:07,2019-07-14 10:52:04,2020-02-06 14:46:44,2020-02-06 21:23:59,2022-01-08 07:23:29,2022-11-15 11:07:02,2023-01-11 17:07:24,2023-05-11 04:31:21,,,,,,,,,,,,,,,,,,Jeremy,ceolachan,ceolachan,ceolachan,Bryce,JACKB,Sergei Ejov,Bazza,Brian Maddison,Richard D Cook,benhockenberry,James Dumbelton,lusoceltibero,luddite,Aaron Bergen,,,,,,,,,,,,,,,,,,"Butterfly, The","[""Barney's Goat"", 'Bug, The', 'Butterfly Gig, The', 'Eitil Im', 'Fiona', 'Im Ag Eitilt', 'Kick The Peeler', 'Red Admiral Butterfly, The', 'Red Monarch Butterfly, The']"
"Boys Of Malin, The",11,926,"Boys Of Malin, The",11,12374.0,23921.0,31486.0,36704.0,42321.0,44139.0,45356.0,,,,,,,,,,,,,,,,,,,,,,,,,reel,reel,reel,reel,reel,reel,reel,reel,,,,,,,,,,,,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,,,,,,,,,,,,Amajor,Bminor,Gmajor,Bminor,Gmajor,Amajor,Amajor,Amajor,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-18 03:55:52,2007-06-24 01:34:39,2014-04-04 19:46:48,2017-12-12 07:11:22,2019-12-04 00:14:04,2021-11-12 18:03:07,2022-06-19 21:42:39,2022-11-15 12:21:58,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy,Nigel Gatherer,SaiPavel,Sergei Ejov,JACKB,Eric Christensen,Fernando Durbán Galnares,lusoceltibero,,,,,,,,,,,,,,,,,,,,,,,,,"Boys Of Malin, The","['Boys Of Mallin, The', 'Boys Of Mallow, The', ""Karen Logan's""]"
"Cliffs Of Moher, The",12,2181,"Cliffs Of Moher, The",12,12375.0,12376.0,12377.0,12378.0,23642.0,23924.0,32781.0,34391.0,34392.0,34455.0,34456.0,36602.0,36603.0,36604.0,36605.0,39137.0,42062.0,45282.0,45982.0,45987.0,,,,,,,,,,,,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,,,,,,,,,,,,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,,,,,,,,,,,,Adorian,Gmajor,Gdorian,Gmajor,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Adorian,Gdorian,Adorian,Adorian,Adorian,,,,,,,,,,,,2001-05-18 03:57:51,2005-02-24 11:57:37,2005-06-10 17:10:56,2007-12-30 13:47:08,2008-05-09 10:05:52,2014-02-24 00:55:33,2014-04-05 02:56:01,2018-07-30 14:50:57,2019-03-01 03:18:02,2019-03-01 03:21:28,2019-03-09 04:39:07,2019-03-09 04:47:04,2019-11-17 23:30:07,2019-11-17 23:35:00,2019-11-17 23:40:02,2019-11-18 00:32:44,2020-10-01 00:12:11,2021-10-07 15:09:02,2022-11-06 18:06:01,2023-01-23 20:04:14,2023-01-24 23:40:18,,,,,,,,,,,,Jeremy,gian marco,RogueFiddler,Loughcurra,domhnall.,fiddleandpick,GaryAMartin,Jeske,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,JACKB,BagpiperTom,DanWhalen,NfldWhistler,Fernando Durbán Galnares,,,,,,,,,,,,"Cliffs Of Moher, The","['Cliffs Of Mohir, The']"
Chief O'Neill's Favourite,13,904,Chief O'Neill's Favourite,13,12379.0,22925.0,24363.0,28728.0,33550.0,38412.0,40990.0,44995.0,45270.0,46314.0,,,,,,,,,,,,,,,,,,,,,,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,hornpipe,,,,,,,,,,,,,,,,,,,,,,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,,,,,,,,,,,,,,,,,,,,,,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmixolydian,Dmajor,Dmajor,Dmixolydian,Dmajor,Dmajor,,,,,,,,,,,,,,,,,,,,,,2001-05-18 04:16:50,2011-03-06 07:15:41,2013-11-28 17:56:12,2014-06-28 21:05:43,2016-05-01 14:15:03,2018-11-19 06:46:17,2020-07-03 20:29:42,2021-04-11 10:29:27,2022-10-08 15:54:38,2022-11-05 19:27:58,2023-03-01 15:50:10,,,,,,,,,,,,,,,,,,,,,,Jeremy,brotherstorm,JACKB,sebastian the m3g4p0p,MikeFurbee,Lucy Rietmann,D.Sorcha,cab,Edgar Bolton,paddy04,Bob Lamparter,,,,,,,,,,,,,,,,,,,,,,Chief O'Neill's Favourite,"[""Chief O'Neil's"", ""Chief O'Neil's Favourite"", ""Chief O'Neill's"", ""Chief O'Neill's Fancy"", ""Chief O'Neill's Favorite"", 'Flowers Of Ardigne', ""Francis O'Neill's Favourite"", ""O'Neill's"", ""True Lovers', The""]"
"Cuil Aodha, The",14,233,"Cuil Aodha, The",14,12380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slide,slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/8,12/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dmajor,Dmajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-18 04:22:37,2007-03-31 07:25:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy,ceolachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cuil Aodha, The","[""Connie Walsh's"", 'Trip To The Jacks, The']"
Calliope House,15,2138,Calliope House,15,12381.0,12383.0,12384.0,12385.0,22130.0,23455.0,28057.0,31099.0,31495.0,32919.0,33892.0,34168.0,35466.0,35471.0,35665.0,35670.0,36737.0,36739.0,36740.0,41682.0,44747.0,48115.0,,,,,,,,,,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,jig,,,,,,,,,,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,6/8,,,,,,,,,,Dmajor,Dmajor,Emajor,Dmajor,Emajor,Emajor,Dmajor,Emajor,Gmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Dmajor,Emajor,Dmajor,Dmajor,,,,,,,,,,2001-05-18 06:53:52,2006-11-01 18:41:12,2007-02-07 22:54:16,2010-08-18 10:14:20,2012-04-08 10:09:29,2013-08-18 11:50:53,2014-02-08 02:06:20,2016-01-07 18:10:13,2017-10-03 20:43:28,2017-12-12 09:45:10,2018-08-19 02:16:07,2019-01-01 16:48:41,2019-01-26 17:46:40,2019-08-01 21:57:16,2019-08-02 01:46:50,2019-08-19 03:45:15,2019-08-19 05:58:55,2019-12-07 21:10:35,2019-12-07 23:31:48,2019-12-08 00:25:41,2021-07-29 22:39:57,2022-09-05 19:45:31,2023-09-07 17:04:23,,,,,,,,,,Jeremy,ceolachan,DuncanCameron,Dominique Manchon,Weejie,Ari Dwyer,JACKB,catrionamacu,Chris Quarles,Sergei Ejov,NfldWhistler,Eubonian,Ragadash7,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,NfldWhistler,shanachie,jmyers8888 (Jeff Myers),jdogbishop96,,,,,,,,,,Calliope House,"['Calico House', 'Caliope House', 'Calliope Horse', 'Kaliope House', ""Richardson's""]"
